year,barrier,value,barrier_group,barrier_display
2010,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2011,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2012,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2013,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2014,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2015,ngo_foreign_fund_channel,9,Barriers to funding,"Foreign funds channeled
through government"
2004,ngo_foreign_fund_restrict,9,Barriers to funding,Foreign funds restricted
2011,ngo_type_foreign_fund_prohibit,9,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2012,ngo_type_foreign_fund_prohibit,9,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2013,ngo_type_foreign_fund_prohibit,9,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2014,ngo_type_foreign_fund_prohibit,9,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2015,ngo_type_foreign_fund_prohibit,9,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1996,ngo_politics,9,Barriers to advocacy,NGOs restricted from politics
1997,ngo_politics,9,Barriers to advocacy,NGOs restricted from politics
1998,ngo_politics,9,Barriers to advocacy,NGOs restricted from politics
1996,ngo_politics_foreign_fund,9,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1997,ngo_politics_foreign_fund,9,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1984,ngo_barrier_foreign_funds,8,Barriers to entry,"Registration barriers different
if foreign funds involved"
1982,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1983,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1984,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1985,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1986,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1987,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
1988,ngo_foreign_fund_approval,8,Barriers to funding,"Prior approval required
for foreign funds"
2010,ngo_type_foreign_fund_prohibit,8,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1991,ngo_politics,8,Barriers to advocacy,NGOs restricted from politics
1992,ngo_politics,8,Barriers to advocacy,NGOs restricted from politics
1993,ngo_politics,8,Barriers to advocacy,NGOs restricted from politics
1994,ngo_politics,8,Barriers to advocacy,NGOs restricted from politics
1995,ngo_politics,8,Barriers to advocacy,NGOs restricted from politics
1992,ngo_politics_foreign_fund,8,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1993,ngo_politics_foreign_fund,8,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1994,ngo_politics_foreign_fund,8,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1995,ngo_politics_foreign_fund,8,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1981,ngo_barrier_foreign_funds,7,Barriers to entry,"Registration barriers different
if foreign funds involved"
1982,ngo_barrier_foreign_funds,7,Barriers to entry,"Registration barriers different
if foreign funds involved"
1983,ngo_barrier_foreign_funds,7,Barriers to entry,"Registration barriers different
if foreign funds involved"
1981,ngo_foreign_fund_approval,7,Barriers to funding,"Prior approval required
for foreign funds"
2002,ngo_foreign_fund_restrict,7,Barriers to funding,Foreign funds restricted
2003,ngo_foreign_fund_restrict,7,Barriers to funding,Foreign funds restricted
2009,ngo_type_foreign_fund_prohibit,7,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1990,ngo_politics,7,Barriers to advocacy,NGOs restricted from politics
1990,ngo_politics_foreign_fund,7,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1991,ngo_politics_foreign_fund,7,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2001,ngo_foreign_fund_restrict,6,Barriers to funding,Foreign funds restricted
2003,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2004,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2005,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2006,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2007,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2008,ngo_type_foreign_fund_prohibit,6,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1989,ngo_politics,6,Barriers to advocacy,NGOs restricted from politics
1989,ngo_politics_foreign_fund,6,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2008,ngo_foreign_fund_channel,5,Barriers to funding,"Foreign funds channeled
through government"
2000,ngo_foreign_fund_restrict,5,Barriers to funding,Foreign funds restricted
2000,ngo_type_foreign_fund_prohibit,5,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2001,ngo_type_foreign_fund_prohibit,5,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
2002,ngo_type_foreign_fund_prohibit,5,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1981,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1982,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1983,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1984,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1985,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1986,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1987,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1988,ngo_politics_foreign_fund,5,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2007,ngo_foreign_fund_channel,4,Barriers to funding,"Foreign funds channeled
through government"
1999,ngo_foreign_fund_restrict,4,Barriers to funding,Foreign funds restricted
1998,ngo_type_foreign_fund_prohibit,4,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1999,ngo_type_foreign_fund_prohibit,4,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1981,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1982,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1983,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1984,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1985,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1986,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1987,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
1988,ngo_politics,4,Barriers to advocacy,NGOs restricted from politics
2005,ngo_foreign_fund_channel,3,Barriers to funding,"Foreign funds channeled
through government"
2006,ngo_foreign_fund_channel,3,Barriers to funding,"Foreign funds channeled
through government"
1998,ngo_foreign_fund_restrict,3,Barriers to funding,Foreign funds restricted
2011,ngo_foreign_fund_prohibit,3,Barriers to funding,Foreign funds prohibited
2012,ngo_foreign_fund_prohibit,3,Barriers to funding,Foreign funds prohibited
2013,ngo_foreign_fund_prohibit,3,Barriers to funding,Foreign funds prohibited
2014,ngo_foreign_fund_prohibit,3,Barriers to funding,Foreign funds prohibited
2015,ngo_foreign_fund_prohibit,3,Barriers to funding,Foreign funds prohibited
1996,ngo_type_foreign_fund_prohibit,3,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1997,ngo_type_foreign_fund_prohibit,3,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1989,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1990,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1991,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1992,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1993,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1994,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1995,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1996,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1997,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1998,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1999,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
2000,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
2001,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
2002,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
2003,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
2004,ngo_foreign_fund_channel,2,Barriers to funding,"Foreign funds channeled
through government"
1996,ngo_foreign_fund_restrict,2,Barriers to funding,Foreign funds restricted
1997,ngo_foreign_fund_restrict,2,Barriers to funding,Foreign funds restricted
2005,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
2006,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
2007,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
2008,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
2009,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
2010,ngo_foreign_fund_prohibit,2,Barriers to funding,Foreign funds prohibited
1981,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1982,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1983,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1984,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1985,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1986,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1987,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1988,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1989,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1990,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1991,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1992,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1993,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1994,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1995,ngo_type_foreign_fund_prohibit,2,Barriers to funding,"Foreign funds prohibited
for some types of NGOs"
1981,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1982,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1983,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1984,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1985,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1986,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1987,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1988,ngo_foreign_fund_channel,1,Barriers to funding,"Foreign funds channeled
through government"
1981,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1982,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1983,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1984,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1985,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1986,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1987,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1988,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1989,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1990,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1991,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1992,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1993,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1994,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1995,ngo_foreign_fund_restrict,1,Barriers to funding,Foreign funds restricted
1981,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1982,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1983,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1984,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1985,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1986,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1987,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1988,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1989,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1990,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1991,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1992,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1993,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1994,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1995,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1996,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1997,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1998,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1999,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2000,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2001,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2002,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2003,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2004,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
